ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),ATMOSPHERIC PRESSURE (hPa),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.667603,0.75853,9.712463,-0.592961,0.890312,9.748135,-0.059478,-0.128726,0.112623,-0.055161,-0.016846,-0.01915,51.0,-22.7463,-8.0322,-55.9128,96.5343,-5.2089,3.4809,946.2089,248,2019-11-30 14:32:55:415
-0.684341,0.806381,9.726822,-0.598143,0.886169,9.748196,-0.096331,-0.06058,0.112158,-0.005081,0.024689,-0.043579,51.0,-22.7463,-8.0322,-55.9128,96.5343,-5.2089,3.4809,946.2089,257,2019-11-30 14:32:55:424
-0.813553,0.866196,9.772293,-0.602232,0.888305,9.747749,-0.096331,-0.06058,0.112158,0.015686,0.016144,-0.011826,51.0,-23.4573,-8.0475,-55.9128,96.5343,-5.2089,3.4809,946.2089,267,2019-11-30 14:32:55:434
-0.794418,0.815949,9.765106,-0.602232,0.888305,9.747749,-0.2442,-0.019682,0.174002,0.014465,-0.031494,0.03093,51.0,-23.4573,-8.0475,-55.9128,96.5343,-5.2089,3.4809,946.2089,277,2019-11-30 14:32:55:444
-0.794418,0.815949,9.765106,-0.59994,0.88984,9.74775,-0.214128,-0.055934,0.167564,0.014465,-0.031494,0.03093,51.0,-22.731,-7.3578,-55.9158,94.3924,-5.2061,3.5219,946.2015,288,2019-11-30 14:32:55:455
-0.67717,0.71785,9.695724,-0.590468,0.889662,9.748345,-0.214128,-0.055934,0.167564,0.010803,-0.060806,0.049255,51.0,-22.731,-7.3578,-55.9158,94.3924,-5.2061,3.5219,946.2015,298,2019-11-30 14:32:55:465
-0.67717,0.71785,9.695724,-0.590468,0.889662,9.748345,-0.09892,-0.159997,0.073135,0.012009,-0.065689,0.04071,51.0,-22.0169,-7.3471,-54.4464,94.3924,-5.2061,3.5219,946.2015,307,2019-11-30 14:32:55:474
-0.674774,0.689133,9.561722,-0.583155,0.886632,9.749062,-0.09777,-0.189281,-0.031297,0.012009,-0.060806,0.024826,51.0,-22.0169,-7.3471,-54.4464,94.3924,-5.2061,3.5219,946.2015,317,2019-11-30 14:32:55:484
-0.674774,0.689133,9.561722,-0.583155,0.886632,9.749062,-0.09777,-0.189281,-0.031297,0.012009,-0.060806,0.024826,51.0,-22.731,-7.3532,-56.6513,94.2331,-5.1873,3.4232,946.2015,327,2019-11-30 14:32:55:494
-0.629318,0.646057,9.372681,-0.577913,0.881857,9.749806,-0.048347,-0.210973,-0.220325,-0.00264,-0.044937,0.015045,51.0,-22.0337,-8.0078,-57.3807,94.2331,-5.1873,3.4232,946.2015,337,2019-11-30 14:32:55:504
-0.693924,0.784851,9.540192,-0.575905,0.875186,9.750526,-0.11023,-0.083883,-0.071701,-0.014862,-0.011963,0.012604,51.0,-22.0337,-8.0078,-57.3807,94.2331,-5.1873,3.4232,946.2015,348,2019-11-30 14:32:55:515
-0.667603,0.741776,9.578476,-0.575905,0.875186,9.750526,-0.11023,-0.083883,-0.071701,-0.008759,-9.61E-4,0.048035,51.0,-22.0337,-8.0078,-57.3807,94.2331,-5.1873,3.4232,946.2015,358,2019-11-30 14:32:55:525
-0.600601,0.768097,9.690933,-0.579167,0.871544,9.75066,-0.122643,-0.116111,-0.024175,-0.008759,2.59E-4,0.063919,51.0,-22.7127,-6.6833,-55.1849,94.7846,-5.1201,3.3802,946.2015,368,2019-11-30 14:32:55:535
-0.600601,0.768097,9.690933,-0.579167,0.871544,9.75066,-0.122643,-0.116111,-0.024175,-0.008759,2.59E-4,0.063919,51.0,-22.7127,-6.6833,-55.1849,94.7846,-5.1201,3.3802,946.2015,377,2019-11-30 14:32:55:544
-0.571884,0.715454,9.710068,-0.579863,0.866717,9.751049,2.04E-4,-0.124694,0.107397,-0.012405,0.00882,0.100555,51.0,-22.7463,-8.0276,-56.6483,94.7846,-5.1201,3.3802,946.2015,388,2019-11-30 14:32:55:555
-0.45224,0.602997,9.7005,-0.574935,0.859611,9.751969,0.08281,-0.231534,0.099736,-0.023407,-0.025391,0.113998,51.0,-23.4421,-7.373,-55.9158,94.7846,-5.1201,3.3802,946.2015,397,2019-11-30 14:32:55:564
-0.433105,0.586243,9.592819,-0.563548,0.849641,9.753508,0.121895,-0.26606,0.023149,-0.027084,-0.04982,0.096893,51.0,-23.4421,-7.373,-55.9158,94.7846,-5.1201,3.3802,946.2015,407,2019-11-30 14:32:55:574
-0.433105,0.586243,9.592819,-0.563548,0.849641,9.753508,0.121895,-0.26606,0.023149,-0.02829,-0.05838,0.077347,51.0,-23.4421,-7.373,-55.9158,94.7846,-5.1201,3.3802,946.2015,417,2019-11-30 14:32:55:584
-0.476166,0.641281,9.509079,-0.556447,0.842289,9.754554,0.039382,-0.153319,-0.121354,-0.017303,0.018585,0.073685,51.0,-22.7295,-7.3669,-53.7109,95.2975,-4.9703,3.3068,946.2015,427,2019-11-30 14:32:55:594
-0.689133,0.844666,9.310471,-0.565205,0.839686,9.754273,-0.16052,0.02803,-0.30409,-0.020966,0.065018,0.096893,51.0,-24.1852,-8.7463,-54.4418,95.2975,-4.9703,3.3068,946.1873,438,2019-11-30 14:32:55:605
-0.9021,0.911667,8.829514,-0.578701,0.836562,9.753752,-0.300866,0.096415,-0.608811,-0.072266,0.108994,0.172653,51.0,-24.1852,-8.7463,-54.4418,95.2975,-4.9703,3.3068,946.1873,447,2019-11-30 14:32:55:614
-0.9021,0.911667,8.829514,-0.578701,0.836562,9.753752,-0.300866,0.096415,-0.608811,-0.220093,0.17131,0.283829,51.0,-22.0337,-8.0109,-56.6483,97.2607,-4.8936,3.3954,946.1873,458,2019-11-30 14:32:55:625
-0.631699,0.705887,8.614166,-0.599683,0.811001,9.754642,-0.147644,-0.014578,-0.986835,-0.336151,0.227493,0.347351,51.0,-22.0337,-8.0109,-56.6483,97.2607,-4.8936,3.3954,946.1873,467,2019-11-30 14:32:55:634
-0.478561,0.519241,8.805588,-0.633141,0.762844,9.756413,0.138662,-0.212253,-0.843981,-0.336151,0.227493,0.347351,51.0,-22.0337,-8.0109,-56.6483,97.2607,-4.8936,3.3954,946.1873,477,2019-11-30 14:32:55:644
-0.543167,0.576675,9.059235,-0.673251,0.726634,9.756492,0.127705,-0.146633,-0.564819,-0.410675,0.381439,0.373016,51.0,-21.3211,-7.9926,-57.3807,97.2607,-4.8936,3.3954,946.1873,487,2019-11-30 14:32:55:654
-0.543167,0.576675,9.059235,-0.673251,0.726634,9.756492,0.127705,-0.146633,-0.564819,-0.371582,0.741852,0.396225,51.0,-21.3211,-7.9926,-57.3807,97.2607,-4.8936,3.3954,946.1873,497,2019-11-30 14:32:55:664
-0.80159,0.646057,9.363113,-0.777017,0.679675,9.752162,-0.009773,-0.002308,-0.305482,-0.334946,0.903122,0.405991,51.0,-20.5765,-6.6208,-58.1223,96.902,-3.9742,4.5555,946.1873,508,2019-11-30 14:32:55:675
-0.899704,0.576675,9.525833,-0.912246,0.641128,9.743056,-0.019209,-0.047306,-0.092545,-0.301941,1.010635,0.401108,51.0,-20.5765,-6.6208,-58.1223,96.902,-3.9742,4.5555,946.1873,518,2019-11-30 14:32:55:685
-0.899704,0.576675,9.525833,-0.912246,0.641128,9.743056,-0.019209,-0.047306,-0.092545,-0.355713,0.949539,0.392548,51.0,-21.2433,-4.6051,-58.8699,96.902,-3.9742,4.5555,946.1873,528,2019-11-30 14:32:55:695
-1.14856,0.406784,9.755539,-1.045555,0.598612,9.732362,-0.03797,-0.20145,0.157965,-0.374039,0.903122,0.377899,51.0,-19.8196,-4.5731,-58.8684,93.366,-3.4996,6.1318,946.1873,537,2019-11-30 14:32:55:704
-1.14856,0.406784,9.755539,-1.045555,0.598612,9.732362,-0.03797,-0.20145,0.157965,-0.374039,0.903122,0.377899,51.0,-19.8196,-4.5731,-58.8684,93.366,-3.4996,6.1318,946.1873,547,2019-11-30 14:32:55:714
-1.521835,0.557526,10.100098,-1.210165,0.535929,9.716927,-0.397717,0.019129,0.51346,-0.375244,0.867676,0.34613,51.0,-19.8334,-5.2567,-57.3944,93.366,-3.4996,6.1318,946.1873,558,2019-11-30 14:32:55:725
-1.304092,0.708283,10.549957,-1.314468,0.499506,9.70531,0.141852,0.205503,0.984769,-0.243317,0.685638,0.382782,51.0,-19.8334,-5.2567,-57.3944,93.366,-3.4996,6.1318,946.1873,568,2019-11-30 14:32:55:735
-1.696518,0.859024,10.167099,-1.403975,0.487456,9.69338,-0.267405,0.326039,0.801578,-0.08815,0.675873,0.414551,51.0,-19.8334,-5.2567,-57.3944,93.366,-3.4996,6.1318,946.1873,577,2019-11-30 14:32:55:744
-1.696518,0.859024,10.167099,-1.403975,0.487456,9.69338,-0.267405,0.326039,0.801578,-0.066162,0.768723,0.45488,51.0,-19.8349,-5.2429,-60.3348,94.3998,-2.8492,8.2413,946.1873,588,2019-11-30 14:32:55:755
-1.952545,1.119843,9.59761,-1.5049,0.488749,9.678161,-0.392883,0.541241,0.18445,-0.066162,0.768723,0.45488,51.0,-19.8349,-5.2429,-60.3348,94.3998,-2.8492,8.2413,946.1873,598,2019-11-30 14:32:55:765
-2.215759,1.373474,8.973083,-1.618923,0.483552,9.660003,-0.589546,0.870597,-0.494658,-0.105255,0.815155,0.515945,51.0,-19.0903,-3.8895,-56.6681,94.3998,-2.8492,8.2413,946.193,607,2019-11-30 14:32:55:774
-2.378464,1.536194,9.013763,-1.618923,0.483552,9.660003,-0.589546,0.870597,-0.494658,-0.284851,0.908005,0.683334,51.0,-19.0903,-3.8895,-56.6681,94.3998,-2.8492,8.2413,946.193,617,2019-11-30 14:32:55:784
-2.378464,1.536194,9.013763,-1.745794,0.460168,9.639027,-0.676806,1.091062,-0.422566,-0.366699,0.954422,0.773727,51.0,-20.4971,-3.2394,-58.1406,90.6622,-2.8263,9.5138,946.193,627,2019-11-30 14:32:55:794
-2.347366,1.524231,9.595215,-1.873073,0.426612,9.616652,-0.385217,1.013928,0.48149,-0.492538,0.805374,0.937439,51.0,-20.4971,-3.2394,-58.1406,90.6622,-2.8263,9.5138,946.193,637,2019-11-30 14:32:55:804
-2.117645,0.92363,10.609772,-1.948162,0.379793,9.603688,-0.163418,0.484322,1.21995,-0.560959,0.558594,0.968002,51.0,-19.1208,-5.2368,-58.1299,90.6622,-2.8263,9.5138,946.193,648,2019-11-30 14:32:55:815
-1.600799,0.459427,11.32283,-1.948162,0.379793,9.603688,-0.163418,0.484322,1.21995,-0.548752,0.271484,0.856812,51.0,-18.3624,-3.1876,-58.876,91.7493,-2.2195,11.4672,946.193,657,2019-11-30 14:32:55:824
-1.600799,0.459427,11.32283,-1.985386,0.329444,9.597921,0.324211,0.126859,1.816951,-0.504745,0.238495,0.759079,51.0,-18.3624,-3.1876,-58.876,91.7493,-2.2195,11.4672,946.193,667,2019-11-30 14:32:55:834
-1.586441,0.748947,11.545364,-1.985386,0.329444,9.597921,0.324211,0.126859,1.816951,-0.504745,0.238495,0.759079,51.0,-18.3624,-3.1876,-58.876,91.7493,-2.2195,11.4672,946.193,678,2019-11-30 14:32:55:845
-1.895111,1.428513,11.286942,-2.015608,0.28649,9.592999,0.362631,0.523055,2.090982,-0.419235,0.321579,0.695541,51.0,-18.3624,-3.1784,-61.0809,91.7493,-2.2195,11.4672,946.193,687,2019-11-30 14:32:55:854
-2.100891,1.842468,10.832306,-2.113973,0.2568,9.572646,0.005574,1.512772,1.562845,-0.337387,0.724747,0.832382,51.0,-16.8915,-1.12,-60.3546,89.1494,-1.5005,12.453,946.193,699,2019-11-30 14:32:55:866
-2.100891,1.842468,10.832306,-2.113973,0.2568,9.572646,0.005574,1.512772,1.562845,-0.353271,1.083923,0.959442,51.0,-16.8915,-1.12,-60.3546,89.1494,-1.5005,12.453,946.193,707,2019-11-30 14:32:55:874
-2.285141,2.227722,10.935196,-2.262541,0.244633,9.538944,0.023939,1.968521,1.319702,-0.389908,1.308731,1.052292,51.0,-16.8915,-1.12,-60.3546,89.1494,-1.5005,12.453,946.193,717,2019-11-30 14:32:55:884
-2.639282,1.543366,11.71048,-2.262541,0.244633,9.538944,0.023939,1.968521,1.319702,-0.389908,1.308731,1.052292,51.0,-17.6346,-2.4918,-59.6115,89.1494,-1.5005,12.453,946.193,727,2019-11-30 14:32:55:894
-2.639282,1.182053,11.131409,-2.48762,0.223725,9.483253,-0.123713,1.369167,2.305629,-0.479095,1.131577,1.156128,51.0,-16.8915,-1.1261,-58.8852,89.6283,-1.3072,14.6985,946.193,737,2019-11-30 14:32:55:904
-3.026916,1.182053,11.131409,-2.588291,0.194532,9.456918,-0.479275,0.993457,1.680332,-0.595169,0.683197,1.142685,51.0,-16.8915,-1.1261,-58.8852,89.6283,-1.3072,14.6985,946.197,748,2019-11-30 14:32:55:915
-2.991028,1.325623,10.289139,-2.588291,0.194532,9.456918,-0.479275,0.993457,1.680332,-0.760086,0.663666,1.114594,51.0,-17.5385,1.5701,-60.3683,89.6283,-1.3072,14.6985,946.197,758,2019-11-30 14:32:55:925
-3.101105,1.529007,9.999603,-2.704252,0.107536,9.425808,-0.419568,1.425103,0.684566,-0.939682,0.640457,1.107269,51.0,-17.5385,1.5701,-60.3683,89.6283,-1.3072,14.6985,946.197,767,2019-11-30 14:32:55:934
-3.101105,1.529007,9.999603,-2.704252,0.107536,9.425808,-0.419568,1.425103,0.684566,-0.939682,0.640457,1.107269,51.0,-17.5385,1.5701,-60.3683,89.6283,-1.3072,14.6985,946.197,778,2019-11-30 14:32:55:945
-3.146561,0.914063,11.066803,-2.762709,0.001008,9.409454,-0.233832,1.173884,1.36088,-1.195023,0.265381,0.899582,60.0,-16.1484,0.2563,-61.8301,88.9326,-0.6283,16.0081,946.197,787,2019-11-30 14:32:55:954
-3.146561,0.914063,11.066803,-2.762709,0.001008,9.409454,-0.233832,1.173884,1.36088,-1.195023,0.265381,0.899582,60.0,-16.1484,0.2563,-61.8301,88.9326,-0.6283,16.0081,946.197,797,2019-11-30 14:32:55:964
-4.053436,-0.808777,12.248856,-2.787502,-0.186817,9.400283,-1.347115,-0.663282,2.782831,-1.207245,0.12854,0.384003,60.0,-15.3549,3.6453,-60.379,88.9326,-0.6283,16.0081,946.197,807,2019-11-30 14:32:55:974
-3.438492,-0.007172,12.114868,-2.820511,-0.319079,9.386868,-0.658824,0.389162,2.661539,-0.874939,0.300812,-0.006943,60.0,-16.0507,4.3076,-60.3821,86.0014,1.8646,16.7242,946.197,818,2019-11-30 14:32:55:985
-3.438492,-0.007172,12.114868,-2.820511,-0.319079,9.386868,-0.658824,0.389162,2.661539,-0.624481,0.394882,-0.027695,60.0,-16.0507,4.3076,-60.3821,86.0014,1.8646,16.7242,946.197,828,2019-11-30 14:32:55:995
-3.933807,0.483353,10.207779,-2.88827,-0.440141,9.361333,-1.033676,0.89029,1.006294,-0.624481,0.394882,-0.027695,60.0,-16.0507,4.3076,-60.3821,86.0014,1.8646,16.7242,946.197,837,2019-11-30 14:32:56:004
-3.933807,0.483353,10.207779,-2.88827,-0.440141,9.361333,-1.033676,0.89029,1.006294,-0.538956,0.354553,0.083466,60.0,-16.0355,4.985,-61.1221,86.0014,1.8646,16.7242,946.197,847,2019-11-30 14:32:56:014
-4.144363,0.361313,10.013962,-2.932348,-0.501196,9.344544,-1.277123,1.00612,0.72143,-0.497421,0.1884,0.183655,60.0,-16.0675,3.6301,-60.379,87.7359,2.9295,17.422,946.197,857,2019-11-30 14:32:56:024
-3.299698,-0.667603,10.10968,-2.928742,-0.574193,9.341475,-0.46926,-0.018237,0.815536,-0.451004,-0.170761,0.105453,60.0,-16.0675,3.6301,-60.379,87.7359,2.9295,17.422,946.197,868,2019-11-30 14:32:56:035
-3.299698,-0.667603,10.10968,-2.928742,-0.574193,9.341475,-0.46926,-0.018237,0.815536,-0.451004,-0.170761,0.105453,60.0,-16.0675,3.6301,-60.379,87.7359,2.9295,17.422,946.197,879,2019-11-30 14:32:56:046
-2.744568,-1.17009,10.29393,-2.890055,-0.6294,9.349964,0.166799,-0.581739,0.930932,-0.292175,-0.262375,-0.235382,60.0,-17.4744,4.2786,-61.1176,87.7359,2.9295,17.422,946.197,888,2019-11-30 14:32:56:055
-2.744568,-1.17009,10.29393,-2.890055,-0.6294,9.349964,0.166799,-0.581739,0.930932,-0.12114,-0.32959,-0.4272,60.0,-17.4744,4.2786,-61.1176,87.7359,2.9295,17.422,946.197,898,2019-11-30 14:32:56:065
-2.172684,-0.997803,10.511673,-2.826692,-0.681116,9.365697,0.616113,-0.321832,1.178618,-0.083252,-0.494507,-0.43454,60.0,-17.4423,5.6229,-59.6542,86.0224,3.9827,16.7945,946.1943,907,2019-11-30 14:32:56:074
-2.711075,-0.813553,10.506882,-2.740252,-0.710571,9.38917,0.174795,-0.127135,1.199214,-0.129684,-0.749847,-0.328247,60.0,-17.4438,5.6335,-61.8591,86.0224,3.9827,16.7945,946.1943,917,2019-11-30 14:32:56:084
-2.711075,-0.813553,10.506882,-2.740252,-0.710571,9.38917,0.174795,-0.127135,1.199214,-0.343491,-1.06752,-0.054581,60.0,-17.4438,5.6335,-61.8591,86.0224,3.9827,16.7945,946.1943,928,2019-11-30 14:32:56:095
-3.225525,-0.851852,10.3992,-2.560038,-0.76862,9.435349,-0.682515,-0.082116,1.019728,-0.567062,-1.187225,0.148209,60.0,-17.4591,4.9438,-58.9172,88.4346,4.4953,15.1803,946.1943,938,2019-11-30 14:32:56:105
-3.225525,-0.851852,10.3992,-2.404133,-0.848676,9.469439,-0.682515,-0.082116,1.019728,-0.567062,-1.187225,0.148209,60.0,-17.4591,4.9438,-58.9172,88.4346,4.4953,15.1803,946.1943,948,2019-11-30 14:32:56:115
-3.199203,-0.916458,10.188644,-2.271531,-0.953796,9.492145,-0.750631,-0.051178,0.74893,-0.77597,-1.146927,0.343689,60.0,-18.1396,6.2851,-60.3943,88.4346,4.4953,15.1803,946.1943,957,2019-11-30 14:32:56:124
-2.663208,-1.304092,11.1362,-2.271531,-0.953796,9.492145,-0.591619,-0.245295,1.439831,-0.944565,-0.939224,0.572144,60.0,-18.1396,6.2851,-60.3943,88.4346,4.4953,15.1803,946.1943,967,2019-11-30 14:32:56:134
-2.266006,-1.658234,11.791824,-2.151791,-1.063454,9.508378,-0.26152,-0.492059,2.189255,-0.929916,-0.942886,0.606354,60.0,-18.8354,6.9412,-58.9294,87.8707,6.2255,12.7515,946.1943,984,2019-11-30 14:32:56:151
-2.266006,-1.658234,11.791824,-2.151791,-1.063454,9.508378,-0.26152,-0.492059,2.189255,-0.829742,-1.02475,0.613678,77.0,-18.8354,6.9412,-58.9294,87.8707,6.2255,12.7515,946.1943,988,2019-11-30 14:32:56:155
-2.266006,-1.658234,11.791824,-2.019192,-1.160517,9.526093,-0.26152,-0.492059,2.189255,-0.829742,-1.02475,0.613678,77.0,-18.8354,6.9412,-58.9294,87.8707,6.2255,12.7515,946.1943,997,2019-11-30 14:32:56:164
-2.057831,-2.184646,13.366302,-1.907385,-1.208788,9.543118,-0.126785,-0.947638,3.810179,-0.620819,-1.316742,0.629562,77.0,-19.5007,8.9584,-60.4095,87.8707,6.2255,12.7515,946.1943,1008,2019-11-30 14:32:56:175
-2.120041,-2.517242,13.268204,-1.738023,-1.249726,9.570154,-0.451353,-1.194505,3.569689,-0.317825,-1.276413,0.840927,77.0,-21.6354,8.8974,-57.4707,85.9019,7.3215,10.2932,946.1943,1018,2019-11-30 14:32:56:185
-1.947754,-2.742172,12.983459,-1.582517,-1.250763,9.596958,-0.3629,-1.477599,3.440518,-0.133347,-1.253204,1.027863,77.0,-21.6354,8.8974,-57.4707,85.9019,7.3215,10.2932,946.1943,1030,2019-11-30 14:32:56:197
-1.947754,-2.742172,12.983459,-1.582517,-1.250763,9.596958,-0.3629,-1.477599,3.440518,0.073105,-1.109055,1.248993,77.0,-23.0606,8.873,-58.9416,85.9019,7.3215,10.2932,946.1943,1038,2019-11-30 14:32:56:205
